id,from_asset,to_asset,year,rep_period,time_block_start,time_block_end,var_flow_id,dual_max_transport_flow_limit_simple_method,dual_min_transport_flow_limit_simple_method
1,NL_Balance,NO_Balance,2030,1,1,1,3041,0.0,-0.0
2,NL_Balance,NO_Balance,2030,1,2,2,3042,0.0,-0.0
3,NL_Balance,NO_Balance,2030,1,3,3,3043,0.0,-0.0
4,NL_Balance,NO_Balance,2030,1,4,4,3044,0.0,0.0
5,NL_Balance,NO_Balance,2030,1,5,5,3045,0.0,0.0
6,NL_Balance,NO_Balance,2030,1,6,6,3046,0.0,0.0
7,NL_Balance,NO_Balance,2030,1,7,7,3047,-0.766842986226902,0.0
8,NL_Balance,NO_Balance,2030,1,8,8,3048,-0.1476000000000055,0.0
9,NL_Balance,NO_Balance,2030,1,9,9,3049,-0.8189933734928148,0.0
10,NL_Balance,NO_Balance,2030,1,10,10,3050,-0.8189933734928148,0.0
11,NL_Balance,NO_Balance,2030,1,11,11,3051,-0.1476000000000055,0.0
12,NL_Balance,NO_Balance,2030,1,12,12,3052,-3.4235734939712654,0.0
13,NL_Balance,NO_Balance,2030,1,13,13,3053,0.0,0.0
14,NL_Balance,NO_Balance,2030,1,14,14,3054,0.0,0.0
15,NL_Balance,NO_Balance,2030,1,15,15,3055,0.0,0.11225955249486885
16,NL_Balance,NO_Balance,2030,1,16,16,3056,0.0,0.0
17,NL_Balance,NO_Balance,2030,1,17,17,3057,0.0,-0.0
18,NL_Balance,NO_Balance,2030,1,18,18,3058,0.0,0.0
19,NL_Balance,NO_Balance,2030,1,19,19,3059,0.0,0.0
20,NL_Balance,NO_Balance,2030,1,20,20,3060,0.0,0.0
21,NL_Balance,NO_Balance,2030,1,21,21,3061,0.0,0.0
22,NL_Balance,NO_Balance,2030,1,22,22,3062,0.0,0.0
23,NL_Balance,NO_Balance,2030,1,23,23,3063,0.0,0.0
24,NL_Balance,NO_Balance,2030,1,24,24,3064,0.0,0.0
25,NL_Balance,DK_Balance,2030,1,1,1,3065,0.0,-0.0
26,NL_Balance,DK_Balance,2030,1,2,2,3066,0.0,0.0
27,NL_Balance,DK_Balance,2030,1,3,3,3067,0.0,0.0
28,NL_Balance,DK_Balance,2030,1,4,4,3068,0.0,0.0
29,NL_Balance,DK_Balance,2030,1,5,5,3069,0.0,0.0
30,NL_Balance,DK_Balance,2030,1,6,6,3070,0.0,0.0
31,NL_Balance,DK_Balance,2030,1,7,7,3071,-0.766842986226902,0.0
